"permno","year","Tcw","Tsm","fNpats"
10006,1926,18.9807683229446,0.165304705500603,10
10006,1927,24.7257188558578,0.353688596747816,17
10006,1928,34.9327801465988,0.315938483923674,15
10006,1929,64.1890556812286,0.690038274973631,26
10006,1930,35.4347124099731,0.850287085399032,16
10006,1931,14.796909570694,0.187497155740857,8
10006,1932,22.9744930267334,0.317737219855189,13
10006,1933,31.9103720188141,0.358184550888836,19
10006,1934,9.36040258407593,0.30464687012136,8
10006,1935,26.7322430610657,0.563038814812899,15
10006,1936,23.558700799942,0.752467535436153,16
10006,1937,52.5280108451843,1.39258187450469,30
10006,1938,19.9576405286789,0.504200417548418,13
10006,1939,37.6803734302521,0.655213998630643,17
10006,1940,61.4500838518143,0.280849931761622,32
10006,1941,55.9820417165756,0.379396412055939,35
10006,1942,27.8923709392548,0.300360325723886,17
10006,1943,21.9839233160019,0.494647525250912,12
10006,1944,31.7491369247437,0.590078573673964,20
10006,1945,37.0423918962479,0.968816194683313,19
10006,1946,10.7166513204575,0.555297609418631,6
10006,1947,5.85211765766144,0.246403638273478,4
10006,1948,7.32299041748047,0.196206904947758,5
10006,1949,2.97653949260712,0.0876945704221725,2
10006,1950,8.37817049026489,0.344500500708818,6
10006,1951,37.1945700645447,0.707491304725409,25
10006,1952,37.1756777763367,0.623909384012222,19
10006,1953,39.1089257001877,0.757480083033442,25
10006,1954,32.4739977121353,0.950612107291818,20
10006,1955,15.0176470279694,0.736942891031504,10
10006,1956,48.0674231052399,1.22248355671763,20
10006,1957,39.0249091386795,2.45800457149744,19
10006,1958,69.5678337812424,2.92844136059284,32
10006,1959,63.6851847171783,2.65324119105935,31
10006,1960,87.822850227356,3.58224916085601,47
10006,1961,120.142920851707,4.62410241924226,55
10006,1962,99.5086133480072,6.01687731966376,49
10006,1963,106.564891695976,9.51619368046522,52
10006,1964,53.0153694152832,8.2175590544939,29
10006,1965,139.24124789238,16.2883450612426,67
10006,1966,128.538617610931,19.7148897200823,58
10006,1967,108.542100787163,20.5808895379305,49
10006,1968,85.7958300113678,36.4864144027233,41
10006,1969,81.2315564155579,17.8862633109093,40
