,days_since,year,num_claims,sqrt_claims,topics,ncites,sqrt_ncites,xi
5824,651,2003,61,7.810249675906654,"coat, polym",6.0,2.449489742783178,3.1754865047134393
5834,665,2003,8,2.8284271247461903,"coat, polym",2.0,1.4142135623730951,-1.442670282868343
5836,665,2003,15,3.872983346207417,"coat, polym",0.0,0.0,3.9031051088080018
5841,672,2003,42,6.48074069840786,"coat, polym",29.0,5.385164807134504,0.01346564866548001
5843,672,2003,22,4.69041575982343,"coat, polym",2.0,1.4142135623730951,1.0230114727476474
5847,679,2003,48,6.928203230275509,"coat, polym",8.0,2.8284271247461903,2.289886357922143
5852,693,2003,33,5.744562646538029,"coat, polym",3.0,1.7320508075688772,4.258534661269613
5859,693,2003,20,4.47213595499958,"coat, polym",8.0,2.8284271247461903,2.1960985018940153
5860,693,2003,13,3.605551275463989,"coat, polym",1.0,1.0,-2.1407532722519527
5863,700,2003,5,2.23606797749979,"coat, polym",1.0,1.0,-2.358610738288957
5868,707,2003,9,3.0,"coat, polym",0.0,0.0,2.0759458252435254
5875,707,2003,11,3.3166247903554,"coat, polym",1.0,1.0,3.0500670500026916
5879,714,2003,30,5.477225575051661,"coat, polym",0.0,0.0,0.7414567136284714
5883,714,2003,3,1.7320508075688772,"coat, polym",3.0,1.7320508075688772,3.5775540709152396
5885,714,2003,14,3.7416573867739413,"coat, polym",10.0,3.1622776601683795,-4.578118405891435
5888,721,2003,13,3.605551275463989,"coat, polym",7.0,2.6457513110645907,1.933590622281933
5908,756,2003,14,3.7416573867739413,"coat, polym",2.0,1.4142135623730951,1.7398804640462755
5910,756,2003,24,4.898979485566356,"coat, polym",14.0,3.7416573867739413,1.5950422642746687
5923,770,2003,4,2.0,"coat, polym",4.0,2.0,1.974637221071196
5925,770,2003,19,4.358898943540674,"coat, polym",1.0,1.0,1.911923430166763
5932,777,2003,30,5.477225575051661,"coat, polym",7.0,2.6457513110645907,2.743000621501944
5936,784,2003,43,6.557438524302,"coat, polym",9.0,3.0,3.1142812613182382
5941,784,2003,7,2.6457513110645907,"coat, polym",9.0,3.0,2.5111143167047314
5942,784,2003,38,6.164414002968976,"coat, polym",16.0,4.0,3.1142812613182382
5945,791,2003,19,4.358898943540674,"coat, polym",0.0,0.0,-4.243013057192937
5948,798,2003,5,2.23606797749979,"coat, polym",0.0,0.0,2.4958987031695483
5957,812,2003,69,8.306623862918075,"coat, polym",4.0,2.0,2.92171753705801
5958,812,2003,32,5.656854249492381,"coat, polym",8.0,2.8284271247461903,3.62158475784173
5983,847,2003,16,4.0,"coat, polym",2.0,1.4142135623730951,-2.101951764923715
5990,854,2003,19,4.358898943540674,"coat, polym",1.0,1.0,3.438333330802553
5996,861,2003,30,5.477225575051661,"coat, polym",23.0,4.795831523312719,3.954977344026607
5997,861,2003,20,4.47213595499958,"coat, polym",0.0,0.0,1.6273655422692757
6003,875,2003,33,5.744562646538029,"coat, polym",6.0,2.449489742783178,3.1588588856162145
6009,882,2004,12,3.4641016151377544,"coat, polym",1.0,1.0,2.5750717503502165
6011,889,2004,12,3.4641016151377544,"coat, polym",2.0,1.4142135623730951,-1.9999643393450317
6012,889,2004,10,3.1622776601683795,"coat, polym",3.0,1.7320508075688772,1.3907249583388608
6014,889,2004,13,3.605551275463989,"coat, polym",1.0,1.0,-1.6990856124218032
6016,896,2004,9,3.0,"coat, polym",2.0,1.4142135623730951,-1.9449934475865278
6021,903,2004,42,6.48074069840786,"coat, polym",1.0,1.0,2.8980983816163177
6023,910,2004,7,2.6457513110645907,"coat, polym",1.0,1.0,2.3215815219027576
6030,917,2004,17,4.123105625617661,"coat, polym",0.0,0.0,4.636002138173329
6032,924,2004,20,4.47213595499958,"coat, polym",0.0,0.0,3.107248937751184
6036,931,2004,16,4.0,"coat, polym",1.0,1.0,-0.09179953819170462
6042,945,2004,15,3.872983346207417,"coat, polym",39.0,6.244997998398398,-3.018183274382679
6044,945,2004,33,5.744562646538029,"coat, polym",23.0,4.795831523312719,1.902796468172053
6047,952,2004,48,6.928203230275509,"coat, polym",2.0,1.4142135623730951,-0.03283783353003116
6048,952,2004,14,3.7416573867739413,"coat, polym",0.0,0.0,0.25816199459815053
6051,952,2004,10,3.1622776601683795,"coat, polym",0.0,0.0,1.867868466274672
6053,959,2004,20,4.47213595499958,"coat, polym",7.0,2.6457513110645907,2.9941239442950183
6058,966,2004,7,2.6457513110645907,"coat, polym",0.0,0.0,-1.9518690054998333
6063,980,2004,10,3.1622776601683795,"coat, polym",0.0,0.0,3.811874004208796
6065,980,2004,15,3.872983346207417,"coat, polym",16.0,4.0,-2.9110345336864754
6078,1008,2004,16,4.0,"coat, polym",1.0,1.0,-2.270955870945023
6086,1022,2004,59,7.681145747868608,"coat, polym",3.0,1.7320508075688772,3.3058277798246354
6091,1029,2004,42,6.48074069840786,"coat, polym",12.0,3.4641016151377544,1.978233300917812
6093,1036,2004,47,6.855654600401044,"coat, polym",3.0,1.7320508075688772,2.709924003925589
6094,1036,2004,30,5.477225575051661,"coat, polym",2.0,1.4142135623730951,3.36332804990345
6099,1043,2004,6,2.449489742783178,"coat, polym",1.0,1.0,0.6413653099116015
6101,1043,2004,5,2.23606797749979,"coat, polym",5.0,2.23606797749979,2.3169490564053152
6106,1043,2004,22,4.69041575982343,"coat, polym",7.0,2.6457513110645907,2.978287639000409
6114,1057,2004,14,3.7416573867739413,"coat, polym",0.0,0.0,0.6543351096395784
6117,1064,2004,4,2.0,"coat, polym",12.0,3.4641016151377544,-1.5681818757330976
6125,1078,2004,24,4.898979485566356,"coat, polym",7.0,2.6457513110645907,0.7211589733219914
6126,1078,2004,32,5.656854249492381,"coat, polym",1.0,1.0,2.348658958301363
6131,1085,2004,7,2.6457513110645907,"coat, polym",0.0,0.0,2.4679931022201083
6132,1092,2004,18,4.242640687119285,"coat, polym",52.0,7.211102550927978,3.248592313520834
6137,1092,2004,17,4.123105625617661,"coat, polym",0.0,0.0,1.0424582344779099
6145,1106,2004,9,3.0,"coat, polym",4.0,2.0,-5.254456105282149
6147,1106,2004,29,5.385164807134504,"coat, polym",14.0,3.7416573867739413,0.9434881357027998
6151,1120,2004,10,3.1622776601683795,"coat, polym",5.0,2.23606797749979,0.776248298390447
6153,1120,2004,10,3.1622776601683795,"coat, polym",1.0,1.0,1.0963865603212875
6154,1120,2004,13,3.605551275463989,"coat, polym",2.0,1.4142135623730951,3.618127823869538
6156,1120,2004,8,2.8284271247461903,"coat, polym",2.0,1.4142135623730951,2.662255005845616
6162,1134,2004,210,14.491376746189438,"coat, polym",20.0,4.47213595499958,2.6661470298476244
6165,1134,2004,8,2.8284271247461903,"coat, polym",0.0,0.0,-1.9604483900188627
6171,1141,2004,17,4.123105625617661,"coat, polym",11.0,3.3166247903554,3.6374742222129
6174,1148,2004,30,5.477225575051661,"coat, polym",1.0,1.0,3.245362823274193
6179,1155,2004,12,3.4641016151377544,"coat, polym",1.0,1.0,-1.8275240830077037
6181,1155,2004,13,3.605551275463989,"coat, polym",3.0,1.7320508075688772,2.7322387744815075
6184,1169,2004,27,5.196152422706632,"coat, polym",2.0,1.4142135623730951,1.121774145193783
6185,1176,2004,35,5.916079783099616,"coat, polym",4.0,2.0,2.952810927246039
6186,1176,2004,18,4.242640687119285,"coat, polym",1.0,1.0,2.952810927246039
